PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,4]",Ceres,Conjunction,"(0,4]",157,132,289,0.54,0.46
CE_a0_0,Ceres,Conjunction,0,654,663,1317,0.5,0.5
"CE_a103_(0,1]",Ceres,BiSeptile,"(0,1]",251,234,485,0.52,0.48
"CE_a103_(1,6]",Ceres,BiSeptile,"(1,6]",66,63,129,0.51,0.49
CE_a103_0,Ceres,BiSeptile,0,494,498,992,0.5,0.5
"CE_a120_(0,1]",Ceres,Trine,"(0,1]",211,242,453,0.47,0.53
"CE_a120_(1,4]",Ceres,Trine,"(1,4]",52,56,108,0.48,0.52
CE_a120_0,Ceres,Trine,0,548,497,1045,0.52,0.48
"CE_a135_(0,1]",Ceres,SesquiSquare,"(0,1]",224,232,456,0.49,0.51
"CE_a135_(1,4]",Ceres,SesquiSquare,"(1,4]",64,59,123,0.52,0.48
CE_a135_0,Ceres,SesquiSquare,0,523,504,1027,0.51,0.49
"CE_a144_(0,1]",Ceres,BiQuintile,"(0,1]",206,214,420,0.49,0.51
"CE_a144_(1,5]",Ceres,BiQuintile,"(1,5]",78,57,135,0.58,0.42
CE_a144_0,Ceres,BiQuintile,0,527,524,1051,0.5,0.5
"CE_a150_(0,1]",Ceres,Quincunx,"(0,1]",253,220,473,0.53,0.47
"CE_a150_(1,5]",Ceres,Quincunx,"(1,5]",41,37,78,0.53,0.47
CE_a150_0,Ceres,Quincunx,0,517,538,1055,0.49,0.51
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",136,147,283,0.48,0.52
CE_a180_0,Ceres,Opposition,0,675,648,1323,0.51,0.49
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",268,262,530,0.51,0.49
"CE_a30_(1,4]",Ceres,SemiSextile,"(1,4]",73,77,150,0.49,0.51
CE_a30_0,Ceres,SemiSextile,0,470,456,926,0.51,0.49
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",239,240,479,0.5,0.5
"CE_a36_(1,5]",Ceres,SemiQuintile,"(1,5]",124,135,259,0.48,0.52
CE_a36_0,Ceres,SemiQuintile,0,448,420,868,0.52,0.48
"CE_a45_(0,1]",Ceres,SemiSquare,"(0,1]",264,232,496,0.53,0.47
"CE_a45_(1,5]",Ceres,SemiSquare,"(1,5]",106,118,224,0.47,0.53
CE_a45_0,Ceres,SemiSquare,0,441,445,886,0.5,0.5
"CE_a60_(0,1]",Ceres,Sextile,"(0,1]",281,269,550,0.51,0.49
"CE_a60_(1,4]",Ceres,Sextile,"(1,4]",56,47,103,0.54,0.46
CE_a60_0,Ceres,Sextile,0,474,479,953,0.5,0.5
"CE_a72_(0,1]",Ceres,Quintile,"(0,1]",237,224,461,0.51,0.49
"CE_a72_(1,4]",Ceres,Quintile,"(1,4]",24,38,62,0.39,0.61
CE_a72_0,Ceres,Quintile,0,550,533,1083,0.51,0.49
"CE_a90_(0,1]",Ceres,Square,"(0,1]",236,205,441,0.54,0.46
"CE_a90_(1,5]",Ceres,Square,"(1,5]",33,49,82,0.4,0.6
CE_a90_0,Ceres,Square,0,542,541,1083,0.5,0.5
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",76,69,145,0.52,0.48
CH_a0_0,Chiron,Conjunction,0,735,726,1461,0.5,0.5
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",185,214,399,0.46,0.54
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",70,39,109,0.64,0.36
CH_a103_0,Chiron,BiSeptile,0,556,542,1098,0.51,0.49
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",201,202,403,0.5,0.5
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",34,39,73,0.47,0.53
CH_a120_0,Chiron,Trine,0,576,554,1130,0.51,0.49
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",184,165,349,0.53,0.47
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",34,37,71,0.48,0.52
CH_a135_0,Chiron,SesquiSquare,0,593,593,1186,0.5,0.5
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",155,175,330,0.47,0.53
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",55,48,103,0.53,0.47
CH_a144_0,Chiron,BiQuintile,0,601,572,1173,0.51,0.49
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",162,183,345,0.47,0.53
"CH_a150_(1,5]",Chiron,Quincunx,"(1,5]",26,38,64,0.41,0.59
CH_a150_0,Chiron,Quincunx,0,623,574,1197,0.52,0.48
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",112,101,213,0.53,0.47
CH_a180_0,Chiron,Opposition,0,699,694,1393,0.5,0.5
"CH_a30_(1,5]",Chiron,SemiSextile,"(1,5]",190,148,338,0.56,0.44
CH_a30_0,Chiron,SemiSextile,0,101,105,206,0.49,0.51
CH_a30_1,Chiron,SemiSextile,1,520,542,1062,0.49,0.51
"CH_a36_(0,1]",Chiron,SemiQuintile,"(0,1]",229,208,437,0.52,0.48
"CH_a36_(1,4]",Chiron,SemiQuintile,"(1,4]",40,28,68,0.59,0.41
CH_a36_0,Chiron,SemiQuintile,0,542,559,1101,0.49,0.51
"CH_a45_(0,1]",Chiron,SemiSquare,"(0,1]",223,231,454,0.49,0.51
"CH_a45_(1,4]",Chiron,SemiSquare,"(1,4]",32,26,58,0.55,0.45
CH_a45_0,Chiron,SemiSquare,0,556,538,1094,0.51,0.49
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",261,242,503,0.52,0.48
"CH_a60_(1,5]",Chiron,Sextile,"(1,5]",68,67,135,0.5,0.5
CH_a60_0,Chiron,Sextile,0,482,486,968,0.5,0.5
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",352,373,725,0.49,0.51
"CH_a72_(1,5]",Chiron,Quintile,"(1,5]",192,153,345,0.56,0.44
CH_a72_0,Chiron,Quintile,0,267,269,536,0.5,0.5
"CH_a90_(0,1]",Chiron,Square,"(0,1]",334,315,649,0.51,0.49
"CH_a90_(1,5]",Chiron,Square,"(1,5]",97,117,214,0.45,0.55
CH_a90_0,Chiron,Square,0,380,363,743,0.51,0.49
"JN_a0_(0,3]",Juno,Conjunction,"(0,3]",149,113,262,0.57,0.43
JN_a0_0,Juno,Conjunction,0,662,682,1344,0.49,0.51
"JN_a103_(0,1]",Juno,BiSeptile,"(0,1]",277,243,520,0.53,0.47
"JN_a103_(1,5]",Juno,BiSeptile,"(1,5]",75,82,157,0.48,0.52
JN_a103_0,Juno,BiSeptile,0,459,470,929,0.49,0.51
"JN_a120_(0,1]",Juno,Trine,"(0,1]",216,249,465,0.46,0.54
"JN_a120_(1,4]",Juno,Trine,"(1,4]",52,51,103,0.5,0.5
JN_a120_0,Juno,Trine,0,543,495,1038,0.52,0.48
"JN_a135_(0,1]",Juno,SesquiSquare,"(0,1]",202,228,430,0.47,0.53
"JN_a135_(1,4]",Juno,SesquiSquare,"(1,4]",33,45,78,0.42,0.58
JN_a135_0,Juno,SesquiSquare,0,576,522,1098,0.52,0.48
"JN_a144_(0,1]",Juno,BiQuintile,"(0,1]",254,236,490,0.52,0.48
"JN_a144_(1,5]",Juno,BiQuintile,"(1,5]",43,53,96,0.45,0.55
JN_a144_0,Juno,BiQuintile,0,514,506,1020,0.5,0.5
"JN_a150_(0,1]",Juno,Quincunx,"(0,1]",237,224,461,0.51,0.49
"JN_a150_(1,4]",Juno,Quincunx,"(1,4]",72,66,138,0.52,0.48
JN_a150_0,Juno,Quincunx,0,502,505,1007,0.5,0.5
"JN_a180_(0,4]",Juno,Opposition,"(0,4]",191,163,354,0.54,0.46
JN_a180_0,Juno,Opposition,0,620,632,1252,0.5,0.5
"JN_a30_(0,1]",Juno,SemiSextile,"(0,1]",193,176,369,0.52,0.48
"JN_a30_(1,5]",Juno,SemiSextile,"(1,5]",31,36,67,0.46,0.54
JN_a30_0,Juno,SemiSextile,0,587,583,1170,0.5,0.5
"JN_a36_(0,1]",Juno,SemiQuintile,"(0,1]",204,199,403,0.51,0.49
"JN_a36_(1,4]",Juno,SemiQuintile,"(1,4]",32,28,60,0.53,0.47
JN_a36_0,Juno,SemiQuintile,0,575,568,1143,0.5,0.5
"JN_a45_(0,1]",Juno,SemiSquare,"(0,1]",226,221,447,0.51,0.49
"JN_a45_(1,4]",Juno,SemiSquare,"(1,4]",25,23,48,0.52,0.48
JN_a45_0,Juno,SemiSquare,0,560,551,1111,0.5,0.5
"JN_a60_(0,1]",Juno,Sextile,"(0,1]",261,230,491,0.53,0.47
"JN_a60_(1,6]",Juno,Sextile,"(1,6]",70,65,135,0.52,0.48
JN_a60_0,Juno,Sextile,0,480,500,980,0.49,0.51
"JN_a72_(0,1]",Juno,Quintile,"(0,1]",264,257,521,0.51,0.49
"JN_a72_(1,4]",Juno,Quintile,"(1,4]",112,117,229,0.49,0.51
JN_a72_0,Juno,Quintile,0,435,421,856,0.51,0.49
"JN_a90_(0,1]",Juno,Square,"(0,1]",263,244,507,0.52,0.48
"JN_a90_(1,5]",Juno,Square,"(1,5]",62,57,119,0.52,0.48
JN_a90_0,Juno,Square,0,486,494,980,0.5,0.5
"JU_a0_(0,4]",Jupiter,Conjunction,"(0,4]",196,169,365,0.54,0.46
JU_a0_0,Jupiter,Conjunction,0,615,626,1241,0.5,0.5
"JU_a103_(0,1]",Jupiter,BiSeptile,"(0,1]",278,238,516,0.54,0.46
"JU_a103_(1,4]",Jupiter,BiSeptile,"(1,4]",30,45,75,0.4,0.6
JU_a103_0,Jupiter,BiSeptile,0,503,512,1015,0.5,0.5
"JU_a120_(0,1]",Jupiter,Trine,"(0,1]",165,194,359,0.46,0.54
"JU_a120_(1,4]",Jupiter,Trine,"(1,4]",31,17,48,0.65,0.35
JU_a120_0,Jupiter,Trine,0,615,584,1199,0.51,0.49
"JU_a135_(0,1]",Jupiter,SesquiSquare,"(0,1]",206,215,421,0.49,0.51
"JU_a135_(1,4]",Jupiter,SesquiSquare,"(1,4]",37,30,67,0.55,0.45
JU_a135_0,Jupiter,SesquiSquare,0,568,550,1118,0.51,0.49
"JU_a144_(0,1]",Jupiter,BiQuintile,"(0,1]",163,200,363,0.45,0.55
"JU_a144_(1,5]",Jupiter,BiQuintile,"(1,5]",26,16,42,0.62,0.38
JU_a144_0,Jupiter,BiQuintile,0,622,579,1201,0.52,0.48
"JU_a150_(0,1]",Jupiter,Quincunx,"(0,1]",192,180,372,0.52,0.48
"JU_a150_(1,5]",Jupiter,Quincunx,"(1,5]",35,39,74,0.47,0.53
JU_a150_0,Jupiter,Quincunx,0,584,576,1160,0.5,0.5
"JU_a180_(0,3]",Jupiter,Opposition,"(0,3]",101,88,189,0.53,0.47
JU_a180_0,Jupiter,Opposition,0,710,707,1417,0.5,0.5
"JU_a30_(0,1]",Jupiter,SemiSextile,"(0,1]",234,200,434,0.54,0.46
"JU_a30_(1,5]",Jupiter,SemiSextile,"(1,5]",144,144,288,0.5,0.5
JU_a30_0,Jupiter,SemiSextile,0,433,451,884,0.49,0.51
"JU_a36_(0,1]",Jupiter,SemiQuintile,"(0,1]",248,288,536,0.46,0.54
"JU_a36_(1,4]",Jupiter,SemiQuintile,"(1,4]",63,61,124,0.51,0.49
JU_a36_0,Jupiter,SemiQuintile,0,500,446,946,0.53,0.47
"JU_a45_(0,1]",Jupiter,SemiSquare,"(0,1]",290,324,614,0.47,0.53
"JU_a45_(1,4]",Jupiter,SemiSquare,"(1,4]",81,69,150,0.54,0.46
JU_a45_0,Jupiter,SemiSquare,0,440,402,842,0.52,0.48
"JU_a60_(0,1]",Jupiter,Sextile,"(0,1]",248,258,506,0.49,0.51
"JU_a60_(1,6]",Jupiter,Sextile,"(1,6]",62,49,111,0.56,0.44
JU_a60_0,Jupiter,Sextile,0,501,488,989,0.51,0.49
"JU_a72_(0,1]",Jupiter,Quintile,"(0,1]",261,243,504,0.52,0.48
"JU_a72_(1,5]",Jupiter,Quintile,"(1,5]",72,73,145,0.5,0.5
JU_a72_0,Jupiter,Quintile,0,478,479,957,0.5,0.5
"JU_a90_(0,1]",Jupiter,Square,"(0,1]",185,216,401,0.46,0.54
"JU_a90_(1,5]",Jupiter,Square,"(1,5]",40,46,86,0.47,0.53
JU_a90_0,Jupiter,Square,0,586,533,1119,0.52,0.48
"MA_a0_(0,3]",Mars,Conjunction,"(0,3]",180,194,374,0.48,0.52
MA_a0_0,Mars,Conjunction,0,631,601,1232,0.51,0.49
"MA_a103_(0,1]",Mars,BiSeptile,"(0,1]",256,242,498,0.51,0.49
"MA_a103_(1,4]",Mars,BiSeptile,"(1,4]",59,52,111,0.53,0.47
MA_a103_0,Mars,BiSeptile,0,496,501,997,0.5,0.5
"MA_a120_(0,1]",Mars,Trine,"(0,1]",227,233,460,0.49,0.51
"MA_a120_(1,4]",Mars,Trine,"(1,4]",45,46,91,0.49,0.51
MA_a120_0,Mars,Trine,0,539,516,1055,0.51,0.49
"MA_a135_(0,1]",Mars,SesquiSquare,"(0,1]",223,227,450,0.5,0.5
"MA_a135_(1,4]",Mars,SesquiSquare,"(1,4]",27,24,51,0.53,0.47
MA_a135_0,Mars,SesquiSquare,0,561,544,1105,0.51,0.49
"MA_a144_(0,1]",Mars,BiQuintile,"(0,1]",260,257,517,0.5,0.5
"MA_a144_(1,5]",Mars,BiQuintile,"(1,5]",68,55,123,0.55,0.45
MA_a144_0,Mars,BiQuintile,0,483,483,966,0.5,0.5
"MA_a150_(0,1]",Mars,Quincunx,"(0,1]",210,202,412,0.51,0.49
"MA_a150_(1,4]",Mars,Quincunx,"(1,4]",51,47,98,0.52,0.48
MA_a150_0,Mars,Quincunx,0,550,546,1096,0.5,0.5
"MA_a180_(0,3]",Mars,Opposition,"(0,3]",150,150,300,0.5,0.5
MA_a180_0,Mars,Opposition,0,661,645,1306,0.51,0.49
"MA_a30_(0,1]",Mars,SemiSextile,"(0,1]",253,260,513,0.49,0.51
"MA_a30_(1,4]",Mars,SemiSextile,"(1,4]",76,56,132,0.58,0.42
MA_a30_0,Mars,SemiSextile,0,482,479,961,0.5,0.5
"MA_a36_(0,1]",Mars,SemiQuintile,"(0,1]",235,274,509,0.46,0.54
