PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,107,94,201,0.53,0.47
CE_FIX,Ceres,Fixed,253,221,474,0.53,0.47
CE_MUT,Ceres,Mutable,342,276,618,0.55,0.45
CH_CAR,Chiron,Cardinal,476,407,883,0.54,0.46
CH_MUT,Chiron,Mutable,226,184,410,0.55,0.45
JN_CAR,Juno,Cardinal,327,261,588,0.56,0.44
JN_FIX,Juno,Fixed,206,212,418,0.49,0.51
JN_MUT,Juno,Mutable,169,118,287,0.59,0.41
JU_CAR,Jupiter,Cardinal,265,189,454,0.58,0.42
JU_FIX,Jupiter,Fixed,241,209,450,0.54,0.46
JU_MUT,Jupiter,Mutable,196,193,389,0.5,0.5
MA_CAR,Mars,Cardinal,284,221,505,0.56,0.44
MA_FIX,Mars,Fixed,253,208,461,0.55,0.45
MA_MUT,Mars,Mutable,165,162,327,0.5,0.5
ME_CAR,Mercury,Cardinal,214,184,398,0.54,0.46
ME_FIX,Mercury,Fixed,228,221,449,0.51,0.49
ME_MUT,Mercury,Mutable,260,186,446,0.58,0.42
MO_CAR,Moon,Cardinal,243,192,435,0.56,0.44
MO_FIX,Moon,Fixed,243,188,431,0.56,0.44
MO_MUT,Moon,Mutable,216,211,427,0.51,0.49
NE_MUT,Neptune,Mutable,702,591,1293,0.54,0.46
NN_CAR,NNode,Cardinal,307,259,566,0.54,0.46
NN_FIX,NNode,Fixed,243,233,476,0.51,0.49
NN_MUT,NNode,Mutable,152,99,251,0.61,0.39
PA_CAR,Pallas,Cardinal,386,311,697,0.55,0.45
PA_FIX,Pallas,Fixed,218,193,411,0.53,0.47
PA_MUT,Pallas,Mutable,98,87,185,0.53,0.47
PH_CAR,Pholus,Cardinal,489,363,852,0.57,0.43
PH_MUT,Pholus,Mutable,213,228,441,0.48,0.52
PL_CAR,Pluto,Cardinal,702,591,1293,0.54,0.46
SA_CAR,Saturn,Cardinal,515,474,989,0.52,0.48
SA_FIX,Saturn,Fixed,104,54,158,0.66,0.34
SA_MUT,Saturn,Mutable,83,63,146,0.57,0.43
SN_CAR,SNode,Cardinal,307,259,566,0.54,0.46
SN_FIX,SNode,Fixed,243,233,476,0.51,0.49
SN_MUT,SNode,Mutable,152,99,251,0.61,0.39
SU_CAR,Sun,Cardinal,238,184,422,0.56,0.44
SU_FIX,Sun,Fixed,241,205,446,0.54,0.46
SU_MUT,Sun,Mutable,223,202,425,0.52,0.48
UR_CAR,Uranus,Cardinal,228,184,412,0.55,0.45
UR_FIX,Uranus,Fixed,474,407,881,0.54,0.46
VE_CAR,Venus,Cardinal,209,211,420,0.5,0.5
VE_FIX,Venus,Fixed,238,186,424,0.56,0.44
VE_MUT,Venus,Mutable,255,194,449,0.57,0.43
VS_CAR,Vesta,Cardinal,177,164,341,0.52,0.48
VS_FIX,Vesta,Fixed,256,221,477,0.54,0.46
VS_MUT,Vesta,Mutable,269,206,475,0.57,0.43
