PlanetsAspect,PlanetX,PlanetY,Aspect,Buy,Sell,DaysN,BuyDays%,SellDays%
CECH_a103,Ceres,Chiron,BiSeptile,10,11,21,0.48,0.52
CECH_a120,Ceres,Chiron,Trine,30,27,57,0.53,0.47
CECH_a135,Ceres,Chiron,SesquiSquare,21,32,53,0.4,0.6
CECH_a144,Ceres,Chiron,BiQuintile,31,32,63,0.49,0.51
CECH_a150,Ceres,Chiron,Quincunx,13,7,20,0.65,0.35
CECH_a180,Ceres,Chiron,Opposition,1,7,8,0.12,0.88
CECH_a30,Ceres,Chiron,SemiSextile,50,66,116,0.43,0.57
CECH_a36,Ceres,Chiron,SemiQuintile,49,65,114,0.43,0.57
CECH_a45,Ceres,Chiron,SemiSquare,15,13,28,0.54,0.46
CECH_a60,Ceres,Chiron,Sextile,12,11,23,0.52,0.48
CECH_a72,Ceres,Chiron,Quintile,14,8,22,0.64,0.36
CECH_a90,Ceres,Chiron,Square,5,16,21,0.24,0.76
CEJU_a0,Ceres,Jupiter,Conjunction,12,12,24,0.5,0.5
CEJU_a103,Ceres,Jupiter,BiSeptile,28,12,40,0.7,0.3
CEJU_a120,Ceres,Jupiter,Trine,7,3,10,0.7,0.3
CEJU_a135,Ceres,Jupiter,SesquiSquare,5,3,8,0.62,0.38
CEJU_a144,Ceres,Jupiter,BiQuintile,3,5,8,0.38,0.62
CEJU_a150,Ceres,Jupiter,Quincunx,3,5,8,0.38,0.62
CEJU_a180,Ceres,Jupiter,Opposition,12,12,24,0.5,0.5
CEJU_a30,Ceres,Jupiter,SemiSextile,20,16,36,0.56,0.44
CEJU_a36,Ceres,Jupiter,SemiQuintile,41,35,76,0.54,0.46
CEJU_a45,Ceres,Jupiter,SemiSquare,20,33,53,0.38,0.62
CEJU_a60,Ceres,Jupiter,Sextile,2,9,11,0.18,0.82
CEJU_a72,Ceres,Jupiter,Quintile,4,6,10,0.4,0.6
CEJU_a90,Ceres,Jupiter,Square,19,25,44,0.43,0.57
CENE_a0,Ceres,Neptune,Conjunction,5,8,13,0.38,0.62
CENE_a103,Ceres,Neptune,BiSeptile,27,34,61,0.44,0.56
CENE_a120,Ceres,Neptune,Trine,7,13,20,0.35,0.65
CENE_a135,Ceres,Neptune,SesquiSquare,11,9,20,0.55,0.45
CENE_a144,Ceres,Neptune,BiQuintile,29,31,60,0.48,0.52
CENE_a150,Ceres,Neptune,Quincunx,26,28,54,0.48,0.52
CENE_a180,Ceres,Neptune,Opposition,2,7,9,0.22,0.78
CENE_a30,Ceres,Neptune,SemiSextile,6,7,13,0.46,0.54
CENE_a36,Ceres,Neptune,SemiQuintile,4,8,12,0.33,0.67
