PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
JUNE_a0,45,40,85,0.53,0.47
JUNE_a103,49,40,89,0.55,0.45
JUNE_a120,65,64,129,0.5,0.5
JUNE_a135,48,38,86,0.56,0.44
JUNE_a150,62,55,117,0.53,0.47
JUNE_a180,18,19,37,0.49,0.51
JUNE_a30,56,58,114,0.49,0.51
JUNE_a45,28,15,43,0.65,0.35
JUNE_a60,98,63,161,0.61,0.39
JUNE_a90,72,82,154,0.47,0.53
JUPL_a0,49,50,99,0.49,0.51
JUPL_a103,40,33,73,0.55,0.45
JUPL_a120,58,50,108,0.54,0.46
JUPL_a135,10,15,25,0.4,0.6
JUPL_a150,48,64,112,0.43,0.57
JUPL_a180,33,27,60,0.55,0.45
JUPL_a30,60,60,120,0.5,0.5
JUPL_a45,81,71,152,0.53,0.47
JUPL_a60,44,59,103,0.43,0.57
JUPL_a90,92,74,166,0.55,0.45
JUSA_a0,17,10,27,0.63,0.37
JUSA_a103,83,78,161,0.52,0.48
JUSA_a120,83,80,163,0.51,0.49
JUSA_a135,47,43,90,0.52,0.48
JUSA_a150,35,39,74,0.47,0.53
JUSA_a180,20,30,50,0.4,0.6
JUSA_a30,51,61,112,0.46,0.54
JUSA_a45,57,55,112,0.51,0.49
JUSA_a60,69,78,147,0.47,0.53
JUSA_a90,68,56,124,0.55,0.45
JUUR_a0,49,38,87,0.56,0.44
JUUR_a103,64,45,109,0.59,0.41
JUUR_a120,50,64,114,0.44,0.56
JUUR_a135,45,56,101,0.45,0.55
JUUR_a150,53,82,135,0.39,0.61
JUUR_a180,29,41,70,0.41,0.59
JUUR_a30,87,82,169,0.51,0.49
JUUR_a45,9,22,31,0.29,0.71
JUUR_a60,74,73,147,0.5,0.5
JUUR_a90,77,79,156,0.49,0.51
MAJU_a0,27,25,52,0.52,0.48
MAJU_a103,39,47,86,0.45,0.55
MAJU_a120,33,42,75,0.44,0.56
MAJU_a135,44,54,98,0.45,0.55
MAJU_a150,45,58,103,0.44,0.56
MAJU_a180,38,30,68,0.56,0.44
MAJU_a30,45,51,96,0.47,0.53
MAJU_a45,45,41,86,0.52,0.48
MAJU_a60,39,44,83,0.47,0.53
MAJU_a90,46,54,100,0.46,0.54
MANE_a0,18,20,38,0.47,0.53
MANE_a103,47,57,104,0.45,0.55
MANE_a120,48,37,85,0.56,0.44
MANE_a135,63,55,118,0.53,0.47
MANE_a150,44,57,101,0.44,0.56
MANE_a180,32,29,61,0.52,0.48
